latent_type,src_lang,dest_lang,latent_lang,prob,ci95_prob,loss,ci95_loss,correct,total,acc,ci95_acc
unembed,fr,de,ru,0.71875,0.0534424261685608,0.6484375,0.21642522895591082,111,133,0.8345864661654135,0.06314681343230259
unembed,fr,de,zh,0.70703125,0.0534424261685608,0.67578125,0.22040851537841225,111,133,0.8345864661654135,0.06314681343230259
unembed,fr,de,es,0.69140625,0.05377436670376925,0.7109375,0.215097466815077,108,133,0.8120300751879699,0.0663988399626754
unembed,fr,de,en,0.384765625,0.05311048563335235,1.75,0.3106963409551112,73,133,0.5488721804511278,0.08456987042051159
unembed,fr,ru,de,0.68359375,0.057425712591062224,0.80078125,0.23766942320925175,106,133,0.7969924812030075,0.06836178980462929
unembed,fr,ru,zh,0.66796875,0.05576600991501996,0.82421875,0.23368613678675032,106,133,0.7969924812030075,0.06836178980462929
unembed,fr,ru,es,0.65234375,0.05842153419668758,0.84765625,0.2297028503642489,102,133,0.7669172932330827,0.07185542173622735
unembed,fr,ru,en,0.333984375,0.04846331814043401,1.84375,0.277502287434266,72,133,0.5413533834586466,0.08468564031786067
unembed,fr,zh,de,0.61328125,0.05510212884460306,0.8125,0.1845589375758994,98,133,0.7368421052631579,0.07483860264292752
unembed,fr,zh,ru,0.58203125,0.054106307238977705,0.85546875,0.1752646025900627,94,133,0.706766917293233,0.07737039965811884
unembed,fr,zh,es,0.6015625,0.054770188309394605,0.82421875,0.17792012687173034,98,133,0.7368421052631579,0.07483860264292752
unembed,fr,zh,en,0.291015625,0.040330775027826934,1.734375,0.20845865611090794,56,133,0.42105263157894735,0.08391082402578583
unembed,fr,es,de,0.76171875,0.05543406937981151,0.8125,0.3372515837717874,108,133,0.8120300751879699,0.0663988399626754
unembed,fr,es,ru,0.7734375,0.05377436670376925,0.7890625,0.33857934591262123,112,133,0.8421052631578947,0.06197225063183037
unembed,fr,es,zh,0.78125,0.054106307238977705,0.78515625,0.3372515837717874,111,133,0.8345864661654135,0.06314681343230259
unembed,fr,es,en,0.46875,0.059417355802312936,1.6015625,0.3584957780251284,78,133,0.5864661654135338,0.08369649206903769
unembed,fr,en,de,0.68359375,0.054106307238977705,0.71875,0.215097466815077,105,133,0.7894736842105263,0.06928708256571349
unembed,fr,en,ru,0.7109375,0.04979108028126782,0.5625,0.16464250546339226,111,133,0.8345864661654135,0.06314681343230259
unembed,fr,en,zh,0.703125,0.049127199210850916,0.5859375,0.1659702676042261,112,133,0.8421052631578947,0.06197225063183037
