src_lang,dest_lang,latent_lang,avg_prob,sem95_error,correct,total
fr,de,ru,0.71875,0.0534424261685608,111,133
fr,de,zh,0.70703125,0.0534424261685608,111,133
fr,de,es,0.69140625,0.05377436670376925,108,133
fr,de,en,0.384765625,0.05311048563335235,73,133
fr,ru,de,0.68359375,0.057425712591062224,106,133
fr,ru,zh,0.66796875,0.05609795045022842,106,133
fr,ru,es,0.65234375,0.05842153419668758,102,133
fr,ru,en,0.333984375,0.04846331814043401,72,133
fr,zh,de,0.61328125,0.05510212884460306,98,133
fr,zh,ru,0.58203125,0.054106307238977705,94,133
fr,zh,es,0.6015625,0.054770188309394605,98,133
fr,zh,en,0.291015625,0.040330775027826934,56,133
fr,es,de,0.76171875,0.05543406937981151,108,133
fr,es,ru,0.7734375,0.05377436670376925,112,133
fr,es,zh,0.78125,0.054106307238977705,111,133
fr,es,en,0.46875,0.059417355802312936,78,133
fr,en,de,0.68359375,0.054106307238977705,105,133
fr,en,ru,0.7109375,0.04979108028126782,111,133
fr,en,zh,0.703125,0.049127199210850916,112,133
fr,en,es,0.63671875,0.054106307238977705,101,133
de,fr,ru,0.703125,0.051782723492518536,110,133
de,fr,zh,0.703125,0.051450782957310086,111,133
de,fr,es,0.58203125,0.05676183152064532,95,133
de,fr,en,0.30859375,0.047467496534808654,66,133
de,ru,fr,0.67578125,0.05377436670376925,110,133
de,ru,zh,0.69921875,0.04879525867564247,113,133
de,ru,es,0.6875,0.04979108028126782,111,133
de,ru,en,0.33984375,0.04613973439397485,77,133
de,zh,fr,0.59375,0.05510212884460306,99,133
de,zh,ru,0.59375,0.051782723492518536,102,133
de,zh,es,0.6171875,0.0534424261685608,102,133
de,zh,en,0.298828125,0.04016480476022271,62,133
de,es,fr,0.58984375,0.06074511794314675,93,133
de,es,ru,0.72265625,0.051450782957310086,113,133
de,es,zh,0.7265625,0.051450782957310086,111,133
de,es,en,0.35546875,0.05012302081647627,70,133
de,en,fr,0.61328125,0.05974929633752139,98,133
de,en,ru,0.74609375,0.04547585332355794,118,133
de,en,zh,0.73828125,0.046803615464391754,115,133
de,en,es,0.66796875,0.0534424261685608,105,133
ru,fr,de,0.6875,0.054438247774186155,108,133
ru,fr,zh,0.7265625,0.0534424261685608,110,133
ru,fr,es,0.59765625,0.06008123687272984,96,133
ru,fr,en,0.330078125,0.04879525867564247,64,133
ru,de,fr,0.6953125,0.05576600991501996,109,133
ru,de,zh,0.765625,0.04613973439397485,119,133
ru,de,es,0.74609375,0.04813137760522556,117,133
ru,de,en,0.423828125,0.05277854509814389,77,133
ru,zh,fr,0.609375,0.05775765312627068,93,133
ru,zh,de,0.64453125,0.05510212884460306,98,133
ru,zh,es,0.6328125,0.05609795045022842,98,133
ru,zh,en,0.310546875,0.04481197225314105,60,133
ru,es,fr,0.59765625,0.06240482061918901,91,133
ru,es,de,0.7265625,0.05377436670376925,110,133
