src_lang,dest_lang,latent_lang,avg_prob,sem95_error,correct,total
fr,de,,0.73828125,0.051450782957310086,115,133
fr,ru,,0.72265625,0.05642989098543687,109,133
fr,zh,,0.64453125,0.05377436670376925,103,133
fr,es,,0.796875,0.05377436670376925,112,133
fr,en,,0.76171875,0.046803615464391754,118,133
de,fr,,0.72265625,0.05078690188689318,114,133
de,ru,,0.7578125,0.046803615464391754,117,133
de,zh,,0.65625,0.05277854509814389,106,133
de,es,,0.75,0.05012302081647627,114,133
de,en,,0.79296875,0.04315226957709878,121,133
ru,fr,,0.74609375,0.05244660456293544,111,133
ru,de,,0.79296875,0.04481197225314105,122,133
ru,zh,,0.67578125,0.054770188309394605,101,133
ru,es,,0.76171875,0.052114664027726985,112,133
ru,en,,0.7734375,0.0464716749291833,117,133
zh,fr,,0.671875,0.0534424261685608,105,133
zh,de,,0.671875,0.05543406937981151,102,133
zh,ru,,0.6171875,0.05576600991501996,106,133
zh,es,,0.6875,0.051782723492518536,109,133
zh,en,,0.6953125,0.0464716749291833,115,133
es,fr,,0.80078125,0.05111884242210163,116,133
es,de,,0.7578125,0.05012302081647627,114,133
es,ru,,0.72265625,0.054106307238977705,111,133
es,zh,,0.68359375,0.052114664027726985,110,133
es,en,,0.796875,0.04846331814043401,117,133
en,fr,,0.8125,0.04016480476022271,120,133
en,de,,0.80078125,0.04182450743626497,122,133
en,ru,,0.78515625,0.047467496534808654,118,133
en,zh,,0.70703125,0.05377436670376925,106,133
en,es,,0.81640625,0.043484210112307235,118,133
